n_k,inv_n_k,theta_index,u_index,theta_deg,u_D_meV,trial_interpolation,branch_label,source_branch,cG,clean,selection_kind,chern_hf_vpplus_band_0,vpplus_band0_chern_rounded,vp_plus_direct_gap,vp_minus_direct_gap,vp_plus_clean,vp_minus_clean,unstable_rank,cG_all_intercept,cG_all_slope,cG_all_rmse,n_C1,n_C0,fit_cG
23,0.0434782608695652,32,18,3.6,9.0,linear_interaction,lowest_energy_clean,theta_up,0.0195711274711725,True,clean,-2.8161161242124886e-16,0,7.467632303586754,7.467632185483573,True,True,2,0.0249732945847449,-0.4294327910799244,0.015850961791753,3,4,0.0063023036682264486
24,0.0416666666666666,32,18,3.6,9.0,linear_interaction,lowest_energy_clean,theta_down,-0.0130668120432554,True,clean,1.0,1,4.066871374051267,4.066871569970694,True,True,2,0.0249732945847449,-0.4294327910799244,0.015850961791753,3,4,0.0070802616230813825
18,0.0555555555555555,30,17,3.5,8.5,linear_interaction,lowest_energy_clean,u_D_down,-0.0090352564652417,True,clean,0.9999999999999996,1,4.08289209135954,4.082892276053897,True,True,3,0.04076519539725,-0.6407065164601096,0.0123560136909668,3,4,0.005170388927243912
19,0.0526315789473684,30,17,3.5,8.5,linear_interaction,lowest_energy_clean,theta_down,0.0196753582614905,True,clean,7.730514850779382e-18,0,8.79826468836496,8.798264589707884,True,True,3,0.04076519539725,-0.6407065164601096,0.0123560136909668,3,4,0.007043799794086342
20,0.05,30,17,3.5,8.5,linear_interaction,lowest_energy_clean,theta_down,0.0199021980816688,True,clean,1.1043592643970545e-18,0,8.765740727507051,8.765740615718002,True,True,3,0.04076519539725,-0.6407065164601096,0.0123560136909668,3,4,0.008729869574244521
21,0.0476190476190476,30,17,3.5,8.5,linear_interaction,lowest_energy_clean,u_D_down,-0.0045355143233089,True,clean,0.9999999999999992,1,3.162504730210003,3.162504993602788,True,True,3,0.04076519539725,-0.6407065164601096,0.0123560136909668,3,4,0.010255361280101925
22,0.0454545454545454,30,17,3.5,8.5,linear_interaction,lowest_energy_clean,u_D_down,0.0215720554330215,True,clean,-1.0933156717530837e-16,0,8.083492959404424,8.083492847063333,True,True,3,0.04076519539725,-0.6407065164601096,0.0123560136909668,3,4,0.011642171921790474
23,0.0434782608695652,30,17,3.5,8.5,linear_interaction,lowest_energy_clean,theta_up,0.0218075651005917,True,clean,-9.497489673814667e-17,0,8.060826063201226,8.060825937578379,True,True,3,0.04076519539725,-0.6407065164601096,0.0123560136909668,3,4,0.012908390333766975
24,0.0416666666666666,30,17,3.5,8.5,linear_interaction,lowest_energy_clean,u_D_down,0.0004326662877584,True,clean,0.9999999999999996,1,2.3977983377754057,2.3977987087744737,True,True,3,0.04076519539725,-0.6407065164601096,0.0123560136909668,3,4,0.014069090544745436
18,0.0555555555555555,39,22,3.95,11.0,linear_interaction,lowest_energy_clean,theta_down,-0.0159366929239035,True,clean,0.9999999999999994,1,5.170663223453488,5.170663254971217,True,True,4,0.0230734006501745,-0.4648945779914891,0.0117900756089068,3,4,-0.00275407590490823
19,0.0526315789473684,39,22,3.95,11.0,linear_interaction,lowest_energy_clean,theta_down,0.009581744177396,True,clean,-3.622298387222338e-16,0,8.997353581829827,8.997353564666504,True,True,4,0.0230734006501745,-0.4648945779914891,0.0117900756089068,3,4,-0.0013947350335880848
20,0.05,39,22,3.95,11.0,linear_interaction,lowest_energy_clean,theta_up,0.0090959881641735,True,clean,9.055745968055848e-17,0,9.095121169427806,9.095121151392,True,True,4,0.0230734006501745,-0.4648945779914891,0.0117900756089068,3,4,-0.0001713282493999574
21,0.0476190476190476,39,22,3.95,11.0,linear_interaction,lowest_energy_clean,theta_down,-0.0113774777146728,True,clean,1.0000000000000002,1,4.3541411122538065,4.354141152960956,True,True,4,0.0230734006501745,-0.4648945779914891,0.0117900756089068,3,4,0.0009355636029607338
22,0.0454545454545454,39,22,3.95,11.0,linear_interaction,lowest_energy_clean,theta_up,0.0129493150534309,True,clean,-2.8492469021444e-16,0,7.827991842558767,7.827991816115699,True,True,4,0.0230734006501745,-0.4648945779914891,0.0117900756089068,3,4,0.0019418289232886292
23,0.0434782608695652,39,22,3.95,11.0,linear_interaction,lowest_energy_clean,theta_down,0.0123025661302472,True,clean,-1.8884543421189631e-16,0,7.899529455623963,7.899529428875894,True,True,4,0.0230734006501745,-0.4648945779914891,0.0117900756089068,3,4,0.0028605929114141025
24,0.0416666666666666,39,22,3.95,11.0,linear_interaction,lowest_energy_clean,theta_up,-0.0114948034030414,True,clean,1.000000000000001,1,3.8277729591344496,3.8277730094678977,True,True,4,0.0230734006501745,-0.4648945779914891,0.0117900756089068,3,4,0.003702793233862453
18,0.0555555555555555,37,21,3.85,10.5,linear_interaction,lowest_energy_clean,theta_down,-0.0070516574808458,True,clean,1.0000000000000004,1,4.119658678636803,4.119658725286051,True,True,5,0.0374181073111198,-0.5655204367239755,0.0113770326543143,3,4,0.0060003052708989466
