theta_deg,u_D_meV,selected_phase,selected_indirect_gap_meV,negative_indirect_gap,delta_E_ivc_minus_vp_meV_per_cell,energy_total_per_cell,vp_reference_energy_per_cell,branch_id,gap_family_label,run_id,indirect_gap,vp_reference_name,vp_reference_indirect_gap_meV,vp_plus_indirect_gap,vp_minus_indirect_gap
2.5,0.0,VP,20.760858568128533,False,1.3610563542990306,-32.83229242598783,-34.19334878028686,u_D_up,single_gap,u_D_up_theta_010_u_000_mixed_seed_1,0.3819507753175521,VP+,20.760858568128533,20.760858568128533,20.760858562914784
2.55,0.0,VP,20.38718165863948,False,1.3251752838924986,-32.62334325676982,-33.94851854066232,u_D_up,single_gap,u_D_up_theta_011_u_000_mixed_seed_29,0.7260470320959556,VP+,20.38718165863948,20.38718165863948,20.38718165444724
2.6,0.0,VP,19.982659617798348,False,1.2906845897001133,-32.40898021058029,-33.6996648002804,u_D_down,single_gap,u_D_down_theta_012_u_000_warm,1.0526288898173457,VP+,19.982659617798348,19.982659617798348,19.982659614416903
2.65,0.0,VP,19.54729437743591,False,1.257512303931513,-32.18919706997533,-33.44670937390684,u_D_up,single_gap,u_D_up_theta_013_u_000_ordered,1.3624754778503565,VP+,19.54729437743591,19.54729437743591,19.54729437470022
2.7,0.0,VP,19.08110304887195,False,1.2255895028234853,-31.96399675812634,-33.189586260949824,u_D_up,single_gap,u_D_up_theta_014_u_000_mixed_seed_29,1.53601956790056,VP+,19.08110304887195,19.08110304887195,19.081103046652316
2.75,0.0,VP,18.584116201763496,False,1.1948503929934091,-31.7333899454526,-32.92824033844601,theta_up,single_gap,theta_up_theta_015_u_000_warm,1.247941181232381,VP+,18.584116201763496,18.584116201763496,18.584116199957684
2.8,0.0,VP,18.05637637760096,False,1.1652323669380316,-31.497393820054885,-32.66262618699292,u_D_up,single_gap,u_D_up_theta_016_u_000_mixed_seed_13,0.92291821467742,VP+,18.05637637760096,18.05637637760096,18.05637637612785
2.85,0.0,VP,17.497936805321533,False,1.1366760237670626,-31.256031009884925,-32.39270703365199,theta_down,single_gap,theta_down_theta_017_u_000_warm,0.5615022501918077,VP+,17.497936805321533,17.497936805321533,17.497936804116915
2.9,0.0,VP,16.908860289580236,False,1.109125156129,-31.00932864173885,-32.11845379786785,u_D_up,single_gap,u_D_up_theta_018_u_000_mixed_seed_29,0.1642150237325594,VP+,16.908860289580236,16.908860289580236,16.908860288592834
2.95,0.0,VP,16.289218247391442,False,1.0825267068330504,-30.75731752145678,-31.83984422828983,u_D_up,single_gap,u_D_up_theta_019_u_000_mixed_seed_29,-0.2684524191985709,VP+,16.289218247391442,16.289218247391442,16.289218246580237
3.0,0.0,VP,15.639089869304012,False,1.0568306997562793,-30.500031420279537,-31.556862120035817,u_D_up,single_gap,u_D_up_theta_020_u_000_mixed_seed_7,-0.7360392006887473,VP+,15.639089869304012,15.639089869304012,15.639089868636011
3.05,0.0,VP,14.9585613870288,False,1.0319901498546251,-30.237506453553635,-31.26949660340826,u_D_up,single_gap,u_D_up_theta_021_u_000_mixed_seed_13,-1.2381132679267672,VP+,14.9585613870288,14.9585613870288,14.95856138647784
3.1,0.0,VP,14.247725430541632,False,1.0079609568739443,-29.96978053949489,-30.977741496368836,u_D_up,single_gap,u_D_up_theta_022_u_000_mixed_seed_53,-1.774269601238279,VP+,14.247725430541632,14.247725430541632,14.247725430086106
3.1500000000000004,0.0,VP,13.506680460662391,False,0.9847017868999757,-29.696892927299036,-30.68159471419901,u_D_up,single_gap,u_D_up_theta_023_u_000_mixed_seed_53,-2.3441282151049645,VP+,13.506680460662391,13.506680460662391,13.506680460285192
3.2,0.0,VP,12.735530265187156,False,0.9621739453680291,-29.41888378538117,-30.3810577307492,u_D_down,single_gap,u_D_down_theta_024_u_000_warm,-2.9473321077181325,VP+,12.735530265187156,12.735530265187156,12.735530264874187
3.25,0.0,VP,11.934383508498442,False,0.9403412446112043,-29.135793841887462,-30.076135086498667,u_D_up,single_gap,u_D_up_theta_025_u_000_mixed_seed_13,-3.5835452552890033,VP+,11.934383508498442,11.934383508498442,11.934383508238332
3.3,0.0,VP,11.103353326106369,False,0.919169868534766,-28.847664070810545,-29.76683393934531,theta_up,single_gap,theta_up_theta_026_u_000_warm,-4.2524507077906595,VP+,11.103353326106369,11.103353326106369,11.103353325889914
3.35,0.0,VP,10.2425569568526,False,0.8986282365559362,-28.554535418066266,-29.4531636546222,u_D_up,single_gap,u_D_up_theta_027_u_000_mixed_seed_29,-4.953748816434038,VP+,10.2425569568526,10.2425569568526,10.242556956672072
3.4000000000000004,0.0,VP,9.352115406481325,False,0.878686868551636,-28.25644856275852,-29.135135431310157,u_D_up,single_gap,u_D_up_theta_028_u_000_mixed_seed_13,-5.687155606868325,VP+,9.352115406481325,9.352115406481325,9.352115406330626
3.45,0.0,VP,8.432153137070342,False,0.8593182522199392,-27.953443709580696,-28.812761961800636,u_D_up,single_gap,u_D_up_theta_029_u_000_mixed_seed_53,-6.452401300095811,VP+,8.432153137070342,8.432153137070342,8.432153136944402
3.5,0.0,VP,7.482797777380679,False,0.8404967139656492,-27.645560408908914,-28.486057122874563,u_D_up,single_gap,u_D_up_theta_030_u_000_ordered,-7.249228977954759,VP+,7.482797777380679,7.482797777380679,7.482797777275176
3.55,0.0,VP,6.5041798496382786,False,0.8221982941685972,-27.332837401635818,-28.155035695804415,theta_up,single_gap,theta_up_theta_031_u_000_warm,-8.077393384930277,VP+,6.5041798496382786,6.5041798496382786,6.504179849549855
3.6,0.0,VP,5.496432508599844,False,0.8044006274782411,-27.01531248620243,-27.81971311368067,u_D_up,single_gap,u_D_up_theta_032_u_000_mixed_seed_7,-8.93665985629168,VP+,5.496432508599844,5.496432508599844,5.496432508525606
3.65,0.0,VP,4.45969128906358,False,0.7870828285952598,-26.693022405619104,-27.480105234214363,u_D_down,single_gap,u_D_down_theta_033_u_000_warm,-9.826803362402297,VP+,4.45969128906358,4.45969128906358,4.459691289001276
3.7,0.0,VP,3.3940938582965376,False,0.7702253838477553,-26.366002752537028,-27.136228136384783,theta_down,single_gap,theta_down_theta_034_u_000_warm,-10.747607656916252,VP+,3.3940938582965376,3.3940938582965376,3.394093858244009
3.75,0.0,VP,2.2997797701432336,False,0.7538100487339143,-26.034287890657343,-26.788097939391257,u_D_up,single_gap,u_D_up_theta_035_u_000_mixed_seed_53,-11.698864519513826,VP+,2.2997797701432336,2.2997797701432336,2.2997797700991036
3.8,0.0,VP,1.176890218011538,False,0.7378197515012168,-25.697910890943493,-26.43573064244471,theta_down,single_gap,theta_down_theta_036_u_000_warm,-12.68037308178918,VP+,1.176890218011538,1.176890218011538,1.1768902179743232
3.85,0.0,VP,0.0255677843358679,False,0.7222385027377243,-25.356903481253863,-26.079141983991587,u_D_up,single_gap,u_D_up_theta_037_u_000_mixed_seed_1,-13.69193922803206,VP+,0.0255677843358679,0.0255677843358679,0.0255677843044743
3.9,0.0,VP,-1.1540438153442576,True,0.7070513108796241,-25.011296008135886,-25.71834731901551,u_D_up,single_gap,u_D_up_theta_038_u_000_mixed_seed_13,-14.733375061224924,VP+,-1.1540438153442576,-1.1540438153442576,-1.1540438153708583
3.95,0.0,VP,-2.36179999496259,True,0.6922441034838585,-24.661117409624527,-25.353361513108386,u_D_up,single_gap,u_D_up_theta_039_u_000_mixed_seed_53,-15.804498427591197,VP+,-2.36179999496259,-2.36179999496259,-2.361799994984981
4.0,0.0,VP,-3.597555567819203,True,0.6778036540679722,-24.306395197976144,-24.984198852044116,theta_down,single_gap,theta_down_theta_040_u_000_mixed_seed_7,-16.9051324921959,VP+,-3.597555567819203,-3.597555567819203,-3.5975555678381728
2.0,0.5,VP,18.80008812672728,False,1.597669883832964,-34.86557576253924,-36.4632456463722,theta_up,single_gap,theta_up_theta_000_u_001_mixed_seed_53,14.021743802942709,VP+,18.80008812672728,18.80008812672728,18.80008815476603
2.05,0.5,VP,19.35223430340414,False,1.7274128798657316,-34.5222025455566,-36.249615425422334,theta_up,large_gap,theta_up_theta_001_u_001_warm,13.803476942935283,VP+,19.35223430340414,19.35223430340414,19.35223432385461
2.1,0.5,VP,19.818726201208193,False,1.7057646875792258,-34.32817893534283,-36.03394362292205,theta_down,small_gap,theta_down_theta_002_u_001_warm,0.1862102708895641,VP+,19.818726201208193,19.818726201208193,19.818726207579893
2.15,0.5,VP,20.17657279460765,False,1.6565512699946936,-34.15934251871556,-35.815893788710255,u_D_up,small_gap,u_D_up_theta_003_u_001_warm,0.1056977982929865,VP+,20.17657279460765,20.17657279460765,20.176572794132987
2.2,0.5,VP,20.49525132708356,False,1.6093003036445381,-33.9858712148918,-35.59517151853634,theta_down,small_gap,theta_down_theta_004_u_001_warm,0.0609398261459794,VP+,20.49525132708356,20.49525132708356,20.49525132620115
