theta_deg,u_D_meV,fit_status,rmse_cG_fit,valid_fit,phase_grey_mask
2.3,14.0,fit_ok_best5,4.885060874786222e-07,True,False
2.3,14.5,fit_ok_best5,4.6146013260297227e-07,True,False
2.3,15.0,fit_ok_best5,3.5889637609982834e-07,True,False
2.3,15.5,fit_ok_best5,3.548295269342398e-07,True,False
2.3,16.0,fit_ok_best5,3.534948323376667e-07,True,False
2.3,16.5,fit_ok_best5,3.451213186180627e-07,True,False
2.3,17.0,fit_ok_best5,3.348076644906798e-07,True,False
2.3,17.5,fit_ok_best5,3.244398175446112e-07,True,False
2.3,18.0,fit_ok_best5,3.1454187866899233e-07,True,False
2.3,18.5,fit_ok_best5,3.052233508308927e-07,True,False
2.3,19.0,fit_ok_best5,2.9647645432621226e-07,True,False
2.3,19.5,fit_ok_best5,2.882633094720981e-07,True,False
2.3,20.0,fit_ok_best5,2.805410579162123e-07,True,False
2.35,0.0,fit_ok_best5,0.0001186572302474,True,False
2.35,0.5,fit_ok_best5,4.89280272127168e-05,True,False
2.35,1.0,fit_ok_best5,0.000171175344237,True,False
2.35,1.5,fit_ok_best5,0.000290287693046,True,False
2.35,2.0,fit_ok_best5,0.0001823194995898,True,False
2.35,2.5,fit_ok_best5,5.673627778386185e-06,True,False
2.35,3.0,fit_ok_best5,3.4243549314089965e-06,True,False
2.35,3.5,fit_ok_best5,2.1683405579392944e-06,True,False
2.35,4.0,fit_ok_best5,1.9069164007884412e-06,True,False
2.35,4.5,fit_ok_best5,1.876104467204043e-06,True,False
2.35,5.0,fit_ok_best5,2.7371203102424088e-06,True,False
2.35,5.5,fit_ok_best5,1.5949949136484031e-06,True,False
2.35,6.0,fit_ok_best5,1.0151581373376222e-06,True,False
2.35,6.5,fit_ok_best5,7.022957884352261e-07,True,False
2.35,7.0,fit_ok_best5,6.174552373082812e-07,True,False
2.35,7.5,fit_ok_best5,3.9857673741830826e-07,True,False
2.35,8.0,fit_ok_best5,2.720032450617142e-07,True,False
2.35,8.5,fit_ok_best5,1.9839242153674205e-06,True,False
2.35,9.0,fit_ok_best5,2.370757817948621e-07,True,False
2.35,9.5,fit_ok_best5,1.2340006172361714e-07,True,False
2.35,10.0,fit_ok_best5,1.1732309360610886e-07,True,False
2.35,10.5,fit_ok_best5,2.453849604473393e-07,True,False
2.35,11.0,fit_ok_best5,8.582251729961203e-07,True,False
2.35,11.5,fit_ok_best5,5.240095829594947e-07,True,False
2.35,12.0,fit_ok_best5,3.3859394779059386e-07,True,False
2.35,12.5,fit_ok_best5,4.46509499497581e-07,True,False
2.35,13.0,fit_ok_best5,5.822859735172737e-07,True,False
2.35,13.5,fit_ok_best5,5.094835758826704e-07,True,False
2.35,14.0,fit_ok_best5,4.640482741414436e-07,True,False
2.35,14.5,fit_ok_best5,5.214349239098185e-07,True,False
2.35,15.0,fit_ok_best5,5.448387133804536e-07,True,False
2.35,15.5,fit_ok_best5,4.051961946518294e-07,True,False
2.35,16.0,fit_ok_best5,3.82755361905032e-07,True,False
2.35,16.5,fit_ok_best5,3.843168808339151e-07,True,False
2.35,17.0,fit_ok_best5,3.773805167705591e-07,True,False
2.35,17.5,fit_ok_best5,3.672528087054746e-07,True,False
2.35,18.0,fit_ok_best5,3.565856022094687e-07,True,False
2.35,18.5,fit_ok_best5,3.4622548548940804e-07,True,False
2.35,19.0,fit_ok_best5,3.363987571836153e-07,True,False
2.35,19.5,fit_ok_best5,3.271388300231242e-07,True,False
2.35,20.0,fit_ok_best5,3.184222513737673e-07,True,False
2.4,0.0,fit_ok_best5,1.2079512096325376e-06,True,False
2.4,0.5,fit_ok_best5,0.0001038783560439,True,False
2.4,1.0,fit_ok_best5,0.0002536767757307,True,False
2.4,1.5,fit_ok_best5,0.000148684467821,True,False
2.4,2.0,fit_ok_best5,0.0001908487547398,True,False
2.4,2.5,fit_ok_best5,0.0004023111739696,True,False
2.4,3.0,fit_ok_best5,4.272369352132077e-06,True,False
2.4,3.5,fit_ok_best5,2.7714192291014276e-06,True,False
2.4,4.0,fit_ok_best5,2.3519433159037723e-06,True,False
2.4,4.5,fit_ok_best5,2.1743409319054926e-06,True,False
2.4,5.0,fit_ok_best5,3.469258487357071e-06,True,False
2.4,5.5,fit_ok_best5,1.1140346761121076e-06,True,False
2.4,6.0,fit_ok_best5,1.6151916983900538e-06,True,False
2.4,6.5,fit_ok_best5,6.709055136862862e-07,True,False
2.4,7.0,fit_ok_best5,5.264094987776745e-07,True,False
2.4,7.5,fit_ok_best5,4.383540320320355e-07,True,False
2.4,8.0,fit_ok_best5,5.655337034908415e-07,True,False
2.4,8.5,fit_ok_best5,1.6667172883871069e-06,True,False
2.4,9.0,fit_ok_best5,1.1903178255625013e-06,True,False
2.4,9.5,fit_ok_best5,5.630596139634983e-07,True,False
2.4,10.0,fit_ok_best5,1.275936160878005e-07,True,False
2.4,10.5,fit_ok_best5,2.8961641243975037e-07,True,False
2.4,11.0,fit_ok_best5,3.565722728112751e-07,True,False
2.4,11.5,fit_ok_best5,9.889320863813604e-07,True,False
2.4,12.0,fit_ok_best5,4.521021331252999e-07,True,False
2.4,12.5,fit_ok_best5,3.666062859104596e-07,True,False
2.4,13.0,fit_ok_best5,4.577603156317764e-07,True,False
2.4,13.5,fit_ok_best5,5.967061232545928e-07,True,False
2.4,14.0,fit_ok_best5,5.564950793300014e-07,True,False
2.4,14.5,fit_ok_best5,4.76260564018127e-07,True,False
2.4,15.0,fit_ok_best5,6.123929540129194e-07,True,False
2.4,15.5,fit_ok_best5,3.242682849456734e-07,True,False
2.4,16.0,fit_ok_best5,4.773286429707668e-07,True,False
2.4,16.5,fit_ok_best5,4.117576533013644e-07,True,False
2.4,17.0,fit_ok_best5,4.154063873226903e-07,True,False
2.4,17.5,fit_ok_best5,4.107547721678579e-07,True,False
2.4,18.0,fit_ok_best5,4.012690177455208e-07,True,False
2.4,18.5,fit_ok_best5,3.904983431450507e-07,True,False
2.4,19.0,fit_ok_best5,3.797572583346981e-07,True,False
2.4,19.5,fit_ok_best5,3.6945594255568995e-07,True,False
2.4,20.0,fit_ok_best5,3.596965739112182e-07,True,False
2.45,0.0,fit_ok_best5,1.081718182366415e-06,True,False
2.45,0.5,fit_ok_best5,0.0001498522561804,True,False
2.45,1.0,fit_ok_best5,0.0001022757451691,True,False
2.45,1.5,fit_ok_best5,0.0002697096952664,True,False
2.45,2.0,fit_ok_best5,9.639591140787e-05,True,False
2.45,2.5,fit_ok_best5,0.0003715266032427,True,False
2.45,3.0,fit_ok_best5,5.654450317173716e-06,True,False
2.45,3.5,fit_ok_best5,3.5117060989340737e-06,True,False
2.45,4.0,fit_ok_best5,2.933162506572163e-06,True,False
2.45,4.5,fit_ok_best5,2.652873190217833e-06,True,False
2.45,5.0,fit_ok_best5,3.4809068310785258e-06,True,False
2.45,5.5,fit_ok_best5,1.963138006819418e-06,True,False
2.45,6.0,fit_ok_best5,1.8262242990274571e-06,True,False
2.45,6.5,fit_ok_best5,8.110900417389038e-07,True,False
2.45,7.0,fit_ok_best5,4.370385709959278e-07,True,False
2.45,7.5,fit_ok_best5,9.996280445297935e-07,True,False
2.45,8.0,fit_ok_best5,4.927459344851801e-07,True,False
2.45,8.5,fit_ok_best5,3.8442613013920706e-07,True,False
2.45,9.0,fit_ok_best5,2.576115913037525e-06,True,False
2.45,9.5,fit_ok_best5,3.872924926965954e-07,True,False
2.45,10.0,fit_ok_best5,1.1058728776166005e-07,True,False
2.45,10.5,fit_ok_best5,3.9643588205672914e-07,True,False
2.45,11.0,fit_ok_best5,9.166511138417474e-08,True,False
2.45,11.5,fit_ok_best5,5.456989200748049e-07,True,False
2.45,12.0,fit_ok_best5,9.685427820428212e-07,True,False
2.45,12.5,fit_ok_best5,3.793900028849358e-07,True,False
2.45,13.0,fit_ok_best5,4.0738139365528826e-07,True,False
2.45,13.5,fit_ok_best5,4.7094546665976427e-07,True,False
2.45,14.0,fit_ok_best5,6.092641501662419e-07,True,False
2.45,14.5,fit_ok_best5,6.133114802577684e-07,True,False
2.45,15.0,fit_ok_best5,4.881328603756137e-07,True,False
2.45,15.5,fit_ok_best5,6.232129164943361e-07,True,False
2.45,16.0,fit_ok_best5,3.94900281850393e-07,True,False
2.45,16.5,fit_ok_best5,5.433556034249233e-07,True,False
2.45,17.0,fit_ok_best5,4.44972465290455e-07,True,False
2.45,17.5,fit_ok_best5,4.463404973336296e-07,True,False
2.45,18.0,fit_ok_best5,4.44843973491908e-07,True,False
2.45,18.5,fit_ok_best5,4.3665940504304003e-07,True,False
2.45,19.0,fit_ok_best5,4.2609593673732843e-07,True,False
2.45,19.5,fit_ok_best5,4.151103451563089e-07,True,False
2.45,20.0,fit_ok_best5,4.0439436893901665e-07,True,False
2.5,0.0,fit_ok_best5,9.435438540314376e-07,True,False
2.5,0.5,fit_ok_best5,1.167935598578267e-06,True,False
2.5,1.0,fit_ok_best5,0.0001631748455537,True,False
2.5,1.5,fit_ok_best5,0.0001078177227736,True,False
2.5,2.0,fit_ok_best5,0.0002785215705358,True,False
2.5,2.5,fit_ok_best5,0.0003746114915091,True,False
2.5,3.0,fit_ok_best5,0.0007101308933338,True,False
2.5,3.5,fit_ok_best5,4.478827586815312e-06,True,False
