theta_deg,u_D_meV,fit_status,cG_inf,rmse_cG_fit,selected_cG_inf_lt_m0p02,percent_error
2.15,14.5,fit_ok_best5,0.0005792044671699,2.666734035885429e-07,False,
2.15,15.0,fit_ok_best5,0.000553307434754,2.572550718224593e-07,False,
2.15,15.5,fit_ok_best5,0.0005297343306594,2.477814382855765e-07,False,
2.15,16.0,fit_ok_best5,0.0005081155456338,2.3884847732784143e-07,False,
2.15,16.5,fit_ok_best5,0.0004881786143231,2.305347665793248e-07,False,
2.15,17.0,fit_ok_best5,0.0004697136311114,2.2280643409371986e-07,False,
2.15,17.5,fit_ok_best5,0.0004525529669047,2.1561066496641267e-07,False,
2.15,18.0,fit_ok_best5,0.0004365589340625,2.0889634697241042e-07,False,
2.15,18.5,fit_ok_best5,0.0004216159461536,2.0261783678844665e-07,False,
2.15,19.0,fit_ok_best5,0.0004076253134516,1.9673504880842633e-07,False,
2.15,19.5,fit_ok_best5,0.0003945016462387,1.9121273612671266e-07,False,
2.15,20.0,fit_ok_best5,0.000382170277367,1.860197777777187e-07,False,
2.2,0.0,fit_ok_best5,-0.0694690449119058,0.0001502826699861,True,0.21633041043917411
2.2,0.5,fit_ok_best5,-0.0685604582503284,0.0002464807132687,True,0.35950855574615326
2.2,1.0,fit_ok_best5,-0.06555869848418,0.0003099988632532,True,0.4728569517407457
2.2,1.5,fit_ok_best5,-0.0558009198813978,0.0002255977087624,True,0.40429030424927975
2.2,2.0,fit_ok_best5,0.0106933584626136,4.24536233529101e-06,False,
2.2,2.5,fit_ok_best5,0.0080760457338114,3.781759798501085e-06,False,
2.2,3.0,fit_ok_best5,0.006532774675547,2.20319838842468e-06,False,
2.2,3.5,fit_ok_best5,0.0054641483197222,9.251623845471736e-07,False,
2.2,4.0,fit_ok_best5,0.0047069813393056,1.1299619214131035e-06,False,
2.2,4.5,fit_ok_best5,0.0041270570339413,1.3399463818555442e-06,False,
2.2,5.0,fit_ok_best5,0.0034630453928287,2.793373378253993e-06,False,
2.2,5.5,fit_ok_best5,0.0030256301918474,1.0047186083647945e-06,False,
2.2,6.0,fit_ok_best5,0.0027355454020335,3.942689569234977e-07,False,
2.2,6.5,fit_ok_best5,0.0024704870263022,8.125761162576788e-08,False,
2.2,7.0,fit_ok_best5,0.0022519757106801,1.2035285138497958e-07,False,
2.2,7.5,fit_ok_best5,0.0020529413381005,6.251698692509151e-07,False,
2.2,8.0,fit_ok_best5,0.0017884538806724,8.228236181367512e-07,False,
2.2,8.5,fit_ok_best5,0.0016353360147033,3.527690342983597e-08,False,
2.2,9.0,fit_ok_best5,0.0015111051170817,2.0550051187411255e-07,False,
2.2,9.5,fit_ok_best5,0.0014034253996288,3.847240635566587e-07,False,
2.2,10.0,fit_ok_best5,0.0012607032169889,6.574041166994889e-07,False,
2.2,10.5,fit_ok_best5,0.0011624481095045,3.791227901000101e-07,False,
2.2,11.0,fit_ok_best5,0.0010771790129801,3.742209734812252e-07,False,
2.2,11.5,fit_ok_best5,0.0010116277152827,4.596559691730946e-07,False,
2.2,12.0,fit_ok_best5,0.000930295351999,4.035680628580717e-07,False,
2.2,12.5,fit_ok_best5,0.0008688223326684,4.03318527064345e-07,False,
2.2,13.0,fit_ok_best5,0.0008214393085084,2.738938953520225e-07,False,
2.2,13.5,fit_ok_best5,0.0007724806580824,3.743746103443556e-07,False,
2.2,14.0,fit_ok_best5,0.0007214768517867,2.968842565857149e-07,False,
2.2,14.5,fit_ok_best5,0.0006867739639836,2.999436847904169e-07,False,
2.2,15.0,fit_ok_best5,0.0006558462459522,2.943706073660346e-07,False,
2.2,15.5,fit_ok_best5,0.0006279009838735,2.8492744763399765e-07,False,
2.2,16.0,fit_ok_best5,0.0006024001578142,2.750325101161092e-07,False,
2.2,16.5,fit_ok_best5,0.0005789618748981,2.6557218207808997e-07,False,
2.2,17.0,fit_ok_best5,0.0005573027677666,2.567152566607405e-07,False,
2.2,17.5,fit_ok_best5,0.0005372037042036,2.484543720774312e-07,False,
2.2,18.0,fit_ok_best5,0.0005184892916475,2.407441195872277e-07,False,
2.2,18.5,fit_ok_best5,0.0005010152575726,2.3353497658065146e-07,False,
2.2,19.0,fit_ok_best5,0.0004846603659416,2.2678118799806137e-07,False,
2.2,19.5,fit_ok_best5,0.0004693210210174,2.2044200658740166e-07,False,
2.2,20.0,fit_ok_best5,0.0004549075242637,2.1448139228008157e-07,False,
2.25,0.0,fit_ok_best5,-0.0704860762980565,3.1154369716007314e-05,True,0.044199324678349736
2.25,0.5,fit_ok_best5,-0.070237317072101,0.0001116123127359,True,0.15890742612125427
2.25,1.0,fit_ok_best5,-0.0682051962310797,0.0001924251404623,True,0.28212680425456477
2.25,1.5,fit_ok_best5,-0.0603339538171069,0.0004623646964939,True,0.766342444414446
2.25,2.0,fit_ok_best5,0.0129587619143275,5.942108542853466e-06,False,
2.25,2.5,fit_ok_best5,0.0095043111543434,4.117020621688574e-06,False,
2.25,3.0,fit_ok_best5,0.0076194331936242,2.3995883988843955e-06,False,
2.25,3.5,fit_ok_best5,0.0063383704294274,1.2549322428434929e-06,False,
2.25,4.0,fit_ok_best5,0.0054403555970419,1.3505432404374457e-06,False,
2.25,4.5,fit_ok_best5,0.0047570001418982,1.616691366088905e-06,False,
2.25,5.0,fit_ok_best5,0.0040851874463348,2.961907399033337e-06,False,
2.25,5.5,fit_ok_best5,0.0035635038048045,1.5502513803270403e-06,False,
2.25,6.0,fit_ok_best5,0.0031580705771405,1.808588217006693e-07,False,
2.25,6.5,fit_ok_best5,0.0028546540175722,1.507634095446836e-07,False,
2.25,7.0,fit_ok_best5,0.0026031097016505,1.8382682595782258e-07,False,
2.25,7.5,fit_ok_best5,0.002385425973914,1.5896497504367284e-07,False,
2.25,8.0,fit_ok_best5,0.0020838117109514,1.5913762553930846e-06,False,
2.25,8.5,fit_ok_best5,0.0019006191984259,2.106494397000789e-07,False,
2.25,9.0,fit_ok_best5,0.0017540225203201,1.0130653097437741e-07,False,
2.25,9.5,fit_ok_best5,0.0016273782060057,2.757004816922923e-07,False,
2.25,10.0,fit_ok_best5,0.001517774364318,4.3780202512183754e-07,False,
2.25,10.5,fit_ok_best5,0.0013671102228591,6.365398530610001e-07,False,
2.25,11.0,fit_ok_best5,0.0012678363586773,3.452313712078893e-07,False,
2.25,11.5,fit_ok_best5,0.0011805412912535,4.3304238277918146e-07,False,
2.25,12.0,fit_ok_best5,0.0011133859826401,5.147339462858572e-07,False,
2.25,12.5,fit_ok_best5,0.0010282267757969,4.351327359215325e-07,False,
2.25,13.0,fit_ok_best5,0.0009642684259057,4.2843206056859483e-07,False,
2.25,13.5,fit_ok_best5,0.0009155005346561,3.780498902499334e-07,False,
2.25,14.0,fit_ok_best5,0.0008637471136648,4.109034220172998e-07,False,
2.25,14.5,fit_ok_best5,0.0008089629560776,3.251088649978884e-07,False,
2.25,15.0,fit_ok_best5,0.0007718748321378,3.2720179083729514e-07,False,
2.25,15.5,fit_ok_best5,0.0007387168795082,3.233934872959177e-07,False,
2.25,16.0,fit_ok_best5,0.0007086800610016,3.142476436028268e-07,False,
