b1,u1,cG_nk18,cG_nk19,cG_nk20,cG_nk21,cG_nk22,cG_nk_last_minus_first,cG_span_across_computed_n_k
-0.02,0.06,-0.07241353103909315,-0.07243638705149047,-0.07245705510232232,-0.07247567795338603,-0.07249242599783615,-7.889495874299768e-05,7.889495874299768e-05
-0.02,0.08,-0.07240132004050998,-0.0724253484768132,-0.07244700067884539,-0.07246645697872894,-0.07248391671671139,-8.259667620141853e-05,8.259667620141853e-05
-0.02,0.1,-0.07238996398432902,-0.07241506471779033,-0.07243761733486626,-0.07245783647683268,-0.07247594790720677,-8.598392287774426e-05,8.598392287774426e-05
0,-0.1,-0.0726110023253536,-0.07261313599188698,-0.07261629982428587,-0.07262003591203328,-0.07262404009492568,-1.303776957208014e-05,1.303776957208014e-05
0,-0.08,-0.07256228466174672,-0.07256962799013728,-0.07257723236014522,-0.07258477206716517,-0.07259205049711648,-2.976583536976052e-05,2.976583536976052e-05
0,-0.06,-0.07252596446887957,-0.07253721119055137,-0.07254812063290474,-0.07255847583212945,-0.07256816697681102,-4.220250793145197e-05,4.220250793145197e-05
0,-0.04,-0.07249775758308499,-0.07251201641586133,-0.07252546523469361,-0.0725379761761825,-0.07254950965059789,-5.175206751290018e-05,5.175206751290018e-05
0,-0.02,-0.07247499217311495,-0.07249164843764265,-0.07250711311483518,-0.07252133198332408,-0.07253432299215781,-5.933081904285764e-05,5.933081904285764e-05
0,0,-0.07245596297652587,-0.07247458681981972,-0.07249170358950457,-0.07250732087127781,-0.07252150462953835,-6.554165301247972e-05,6.554165301247972e-05
0,0.02,-0.07243955920296052,-0.07245984510736755,-0.07247835663321253,-0.07249515420782898,-0.07251034469538836,-7.078549242783838e-05,7.078549242783838e-05
0,0.04,-0.07242504467705525,-0.07244677143521829,-0.07246649201281213,-0.07248431288961077,-0.0725003764946246,-7.533181756934348e-05,7.533181756934348e-05
0,0.06,-0.07241192459332649,-0.07243492860228283,-0.07245572118444624,-0.07247444969502655,-0.07249128808924246,-7.936349591597391e-05,7.936349591597391e-05
0,0.08,-0.07239986272695066,-0.07242401999385648,-0.07244578083681902,-0.07246532948816506,-0.07248286832520665,-8.300559825598353e-05,8.300559825598353e-05
0,0.1,-0.07238862875067514,-0.07241384265450029,-0.07243649094446718,-0.07245679158453902,-0.07247497294006175,-8.634418938660571e-05,8.634418938660571e-05
0.02,-0.1,-0.07260128448187134,-0.07260447594342126,-0.07260854354488533,-0.07261305526010844,-0.07261772814537107,-1.644366349973225e-05,1.644366349973225e-05
0.02,-0.08,-0.07255557077192797,-0.07256365568714451,-0.0725718884895963,-0.0725799638377297,-0.07258770143045293,-3.2130658524962e-05,3.2130658524962e-05
0.02,-0.06,-0.0725211161081438,-0.07253289761640683,-0.07254425777790045,-0.07255499544147576,-0.07256501327112101,-4.389716297721613e-05,4.389716297721613e-05
0.02,-0.04,-0.07249409415157337,-0.07250875130139227,-0.07252253472219178,-0.07253532887431133,-0.07254710379363159,-5.300964205821879e-05,5.300964205821879e-05
0.02,-0.02,-0.07247209867721503,-0.07248906191488239,-0.07250478406239044,-0.07251922062742062,-0.07253239711170539,-6.029843449036065e-05,6.029843449036065e-05
0.02,0,-0.07245358232982281,-0.07247245082551668,-0.07248977275129211,-0.0725055635086438,-0.07251989511103862,-6.631278121581319e-05,6.631278121581319e-05
0.02,0.02,-0.07243753032876676,-0.0724580172915343,-0.0724766975457818,-0.07249363791511548,-0.07250895021128284,-7.141988251607723e-05,7.141988251607723e-05
0.02,0.04,-0.07242326600694823,-0.0724451623398561,-0.07246502542819613,-0.07248296707567388,-0.07249913383513837,-7.586782819013482e-05,7.586782819013482e-05
0.02,0.06,-0.07241033199720026,-0.07243348193417497,-0.07245439738425483,-0.07247323019335673,-0.07249015780560442,-7.982580840415476e-05,7.982580840415476e-05
0.02,0.08,-0.07239841585270823,-0.07242270046952803,-0.07244456877399047,-0.07246420881786773,-0.0724818259591217,-8.341010641346736e-05,8.341010641346736e-05
0.02,0.1,-0.07238730239013005,-0.07241262834399764,-0.07243537142199769,-0.07245575284435599,-0.0724740035328332,-8.670114270314944e-05,8.670114270314944e-05
0.04,-0.1,-0.07259228846316283,-0.07259646229120223,-0.07260136776087554,-0.0726065974919409,-0.07261188864385042,-1.960018068758451e-05,1.960018068758451e-05
0.04,-0.08,-0.07254927450295467,-0.07255805446192411,-0.07256687564314501,-0.07257545206246094,-0.07258361888185247,-3.434437889779374e-05,3.434437889779374e-05
0.04,-0.06,-0.07251651185248792,-0.07252879947286281,-0.07254058597095206,-0.07255168526510758,-0.07256201189043759,-4.550003794967505e-05,4.550003794967505e-05
0.04,-0.04,-0.07249057445215204,-0.07250561221369625,-0.07251971533270574,-0.0725327800671072,-0.0725447856624843,-5.421121033226395e-05,5.421121033226395e-05
0.04,-0.02,-0.07246929038023661,-0.07248654959764395,-0.07250252004602578,-0.072517166595778,-0.07253052201846706,-6.123163823044953e-05,6.123163823044953e-05
0.04,0,-0.07245125273008032,-0.07247035898069262,-0.0724878803605313,-0.07250383983164491,-0.07251831526366251,-6.706253358218506e-05,6.706253358218506e-05
0.04,0.02,-0.0724355327481024,-0.07245621636204874,-0.07247506173447965,-0.07249214190467336,-0.07250757349825979,-7.204075015738998e-05,7.204075015738998e-05
0.04,0.04,-0.07242150743308301,-0.07244357044119434,-0.07246357368755582,-0.07248163416827494,-0.072497902464709,-7.639503162598649e-05,7.639503162598649e-05
0.04,0.06,-0.0724087533671938,-0.07243204724381708,-0.07245308396390326,-0.0724720197645522,-0.07248903550804135,-8.02821408475568e-05,8.02821408475568e-05
0.04,0.08,-0.07239697976577628,-0.07242139029946618,-0.072443364924448,-0.07246309543328069,-0.07248079010969748,-8.381034392120068e-05,8.381034392120068e-05
0.04,0.1,-0.07238598529557613,-0.07241142221589925,-0.072434259226662,-0.07245472073968653,-0.07247304018876777,-8.705489319163484e-05,8.705489319163484e-05
0.06,-0.1,-0.07258393223307739,-0.07258902063985651,-0.07259470495637643,-0.07260060125626416,-0.07260646574753515,-2.253351445775931e-05,2.253351445775931e-05
0.06,-0.08,-0.07254335147667339,-0.07255278447257918,-0.07256215797702251,-0.07257120441647638,-0.07257977362326723,-3.642214659384246e-05,3.642214659384246e-05
0.06,-0.06,-0.0725121276256306,-0.07252489533241127,-0.07253708608305734,-0.07254852817072821,-0.07255914744024242,-4.701981461181781e-05,4.701981461181781e-05
