n_k,b_index,u_index,b1,u1,status,response_status,cG,path_indirect_gap_min_mev,negative_path_indirect_gap,hf_all_converged,hf_nonconverged,reference_chern_valid,invalid_reference_chern,chern_vp_plus,chern_vp_minus,chern_ivc,vp_plus_gap_mev,vp_minus_gap_mev,ivc_gap_mev,any_reference_direct_gap_nonpositive,invalid_chern_with_nonpositive_reference_direct_gap
21,9,13,-0.01,0.03,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999994,-0.9999999999999993,-3.0210853942332987,25.759894235420617,25.759894235420617,1.0055749698980656,False,False
21,9,14,-0.01,0.04,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0000000000000004,-1.0000000000000007,-0.00925370661345945,25.6705673960907,25.670567396090703,0.961987413424849,False,False
21,9,15,-0.01,0.05,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999991,-0.999999999999999,0.008567942447942,25.584696725402527,25.584696725402527,0.9213248470530411,False,False
21,9,16,-0.01,0.06,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999996,-0.9999999999999993,0.016191553042068617,25.50217649525542,25.50217649525542,0.8833106174390586,False,False
21,9,17,-0.01,0.07,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0000000000000002,-1.0000000000000004,0.018845808582808026,25.422900420140078,25.422900420140085,0.8477008417604077,False,False
21,9,18,-0.01,0.08,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0000000000000004,-1.0000000000000002,1.9874383902445167,25.346762005066914,25.346762005066925,0.8142798596181456,False,False
21,9,19,-0.01,0.09,nonconverged_hf,skipped_nonconverged_hf,nan,nan,False,False,True,True,False,1.0000000000000004,-1.0000000000000007,-1.0498953698397187e-06,25.273654881161804,25.273654881161807,0.7378362768027463,False,False
21,9,20,-0.01,0.1,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999994,-0.9999999999999999,1.0038401054790915,25.203473126383106,25.2034731263831,0.753260281354444,False,False
21,10,0,0.0,-0.1,ok,ok,-0.05719727925410072,0.4120680516160763,False,True,False,True,False,0.9999999999999999,-0.9999999999999997,-2.979551488907986e-17,23.565648813994624,23.565648813994628,0.41212673018005197,False,False
21,10,1,0.0,-0.09,ok,ok,-0.05495977227370549,0.9255090500134324,False,True,False,True,False,1.0000000000000002,-1.0000000000000002,-4.0351113313766585e-13,23.857781964256056,23.857781964256052,1.904450231648502,False,False
21,10,2,0.0,-0.08,ok,ok,-0.05864962506631104,1.6499803446763226,False,True,False,True,False,1.0000000000000002,-1.0,-4.93382366819912e-10,24.138320407545653,24.13832040754566,2.058337128099584,False,False
21,10,3,0.0,-0.07,ok,ok,-0.05742492594972577,0.2667157082095303,False,True,False,True,False,1.0000000000000009,-1.0,1.5542612121746746e-17,24.407836008623363,24.407836008623374,0.266657150977349,False,False
21,10,4,0.0,-0.06,ok,ok,-0.05748549049682916,0.22699471113286496,False,True,False,True,False,1.0000000000000002,-1.0000000000000002,8.730022234966315e-17,24.666850740542404,24.666850740542415,0.2268896270949521,False,False
21,10,5,0.0,-0.05,ok,ok,-0.06349921024306282,1.8795150036513224,False,True,False,True,False,0.9999999999999999,-1.0000000000000002,-9.454277590659512e-08,24.91584446582847,24.915844465828474,1.8839717031012233,False,False
21,10,6,0.0,-0.04,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,False,True,False,True,0.9999999999999994,-0.9999999999999993,-0.09435388284790856,25.155261205461553,25.155261205461564,2.088423407219876,False,False
21,10,7,0.0,-0.03,nonconverged_hf,skipped_nonconverged_hf,nan,nan,False,False,True,True,False,0.9999999999999996,-0.9999999999999991,2.412350444547074e-10,25.3855142172117,25.3855142172117,2.1037433720962,False,False
21,10,8,0.0,-0.02,ok,ok,-0.07573099773660741,0.17705999888538118,False,True,False,True,False,0.9999999999999996,-0.9999999999999999,2.8638940034339055e-05,25.606990130282007,25.606990130282,2.1162562664159896,False,False
21,10,9,0.0,-0.01,ok,ok,-0.06873081150266111,0.6911336245903771,False,True,False,True,False,0.9999999999999993,-0.9999999999999991,-5.062840750055415e-05,25.820052327559527,25.820052327559523,2.286240953771492,False,False
21,10,10,0.0,0.0,ok,ok,-0.07074974308703146,1.2415957950050605,False,True,False,True,False,0.9999999999999993,-0.9999999999999993,-6.620598640287501e-05,26.02504372483082,26.02504372483082,2.6338069090268044,False,False
21,10,11,0.0,0.01,ok,ok,-0.08212637412793047,0.4639737069972145,False,True,False,True,False,1.0000000000000004,-1.0000000000000004,-7.729369336466171e-05,25.926403626704744,25.926403626704747,2.5423642413784697,False,False
21,10,12,0.0,0.02,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0000000000000002,-1.0000000000000002,2.9934826246806683,25.831481452913177,25.831481452913174,1.0312994167649019,False,False
21,10,13,0.0,0.03,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999993,-0.999999999999999,-1.987129581269183,25.740174598998333,25.74017459899834,0.9996612260881294,False,False
21,10,14,0.0,0.04,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0,-1.0000000000000002,3.005708914460764,25.652379019953816,25.652379019953816,0.9566738428983126,False,False
21,10,15,0.0,0.05,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0,-0.9999999999999999,-2.047555643407077,25.567989591010825,25.567989591010832,0.9165478962734025,False,False
21,10,16,0.0,0.06,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,1.0000000000000002,-0.9999999999999999,-2.9954296925747714,25.486900463746238,25.486900463746238,0.8790147177783276,False,False
21,10,17,0.0,0.07,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999993,-0.9999999999999994,-0.06413114652821857,25.409005414427423,25.409005414427416,0.8438372469812548,False,False
21,10,18,0.0,0.08,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999997,-0.9999999999999997,-2.949348568030462,25.334198181711184,25.334198181711173,0.810805671584087,False,False
21,10,19,0.0,0.09,nonconverged_hf,skipped_nonconverged_hf,nan,nan,False,False,True,True,False,0.9999999999999997,-1.0,-1.0686307405815342e-06,25.262372791062162,25.262372791062166,0.7381736341663806,False,False
21,10,20,0.0,0.1,invalid_reference_chern,skipped_invalid_reference_chern,nan,nan,False,True,False,False,True,0.9999999999999986,-0.9999999999999991,-2.939930924338943,25.19342386354809,25.193423863548087,0.7504556387555865,False,False
21,11,0,0.01,-0.1,ok,ok,-0.05720631135472576,0.40097723275539365,False,True,False,True,False,0.999999999999999,-0.9999999999999991,5.4882026957638384e-17,23.64223672804463,23.64223672804463,0.4010284810455762,False,False
21,11,1,0.01,-0.09,ok,ok,-0.05728846571050722,0.34870771999754907,False,True,False,True,False,1.0000000000000004,-1.0000000000000009,-3.476352985803928e-17,23.930957146563298,23.930957146563305,0.3487217787453088,False,False
21,11,2,0.01,-0.08,ok,ok,-0.05736210499784593,0.30162912695151417,False,True,False,True,False,0.9999999999999988,-0.999999999999999,6.862428861934492e-17,24.208240580372394,24.2082405803724,0.30160425044901495,False,False
21,11,3,0.01,-0.07,ok,ok,-0.05742800269062608,0.25894360256476034,False,True,False,True,False,0.9999999999999996,-0.9999999999999993,-8.833669518102262e-18,24.47464614517398,24.47464614517398,0.25887650283334257,False,False
21,11,4,0.01,-0.06,ok,ok,-0.05748701028343381,0.22001171349850354,False,True,False,True,False,0.9999999999999996,-1.0000000000000002,6.948627658121141e-18,24.730685203416954,24.730685203416954,0.21989698462535393,False,False
21,11,5,0.01,-0.05,ok,ok,-0.05754004845718888,0.18431673334530535,False,True,False,True,False,0.9999999999999997,-0.9999999999999994,-1.2321369612720318e-16,24.97682869709287,24.97682869709287,0.18414579927675337,False,False
